mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.026393365859985352,0.006657449118189438,0.025240421295166016,0.01259633385649431,7,5,20,"{'max_depth': 7, 'min_samples_leaf': 5, 'min_samples_split': 20}",0.895397489539749,0.8632478632478633,0.8986784140969163,0.8608695652173913,0.9004329004329005,0.883725246506964,0.01778026754831927,1,0.9411764705882353,0.9363538295577131,0.9197396963123644,0.9237472766884531,0.933911159263272,0.9309856864820075,0.008001178700792057
0.0183870792388916,0.0028012782163291177,0.012459468841552735,0.0027366758323163257,7,10,2,"{'max_depth': 7, 'min_samples_leaf': 10, 'min_samples_split': 2}",0.8810572687224669,0.853448275862069,0.9107142857142857,0.8646288209606987,0.8956521739130435,0.8811001650345128,0.020614029671724377,2,0.9178532311062432,0.9157667386609071,0.9122807017543859,0.9138495092693566,0.9205658324265505,0.9160632026434886,0.0029248425285643876
0.019422340393066406,0.003289892123561018,0.009948396682739257,0.0007084338799901301,7,10,5,"{'max_depth': 7, 'min_samples_leaf': 10, 'min_samples_split': 5}",0.8810572687224669,0.853448275862069,0.9107142857142857,0.8646288209606987,0.8956521739130435,0.8811001650345128,0.020614029671724377,2,0.9178532311062432,0.9157667386609071,0.9122807017543859,0.9138495092693566,0.9205658324265505,0.9160632026434886,0.0029248425285643876
0.019709014892578126,0.0049651063070302644,0.01362314224243164,0.004728416771320553,7,10,10,"{'max_depth': 7, 'min_samples_leaf': 10, 'min_samples_split': 10}",0.8810572687224669,0.853448275862069,0.9107142857142857,0.8646288209606987,0.8956521739130435,0.8811001650345128,0.020614029671724377,2,0.9178532311062432,0.9157667386609071,0.9122807017543859,0.9138495092693566,0.9205658324265505,0.9160632026434886,0.0029248425285643876
0.019133377075195312,0.003970130528188475,0.010742092132568359,0.0017726803277165666,7,10,20,"{'max_depth': 7, 'min_samples_leaf': 10, 'min_samples_split': 20}",0.8810572687224669,0.853448275862069,0.9107142857142857,0.8646288209606987,0.8956521739130435,0.8811001650345128,0.020614029671724377,2,0.9178532311062432,0.9157667386609071,0.9122807017543859,0.9138495092693566,0.9205658324265505,0.9160632026434886,0.0029248425285643876
0.02271413803100586,0.006725993001184323,0.013202238082885741,0.0032955565878238047,10,1,2,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.869198312236287,0.8412017167381974,0.8672566371681416,0.8298755186721992,0.8796680497925311,0.8574400469214712,0.018720005040952337,85,0.9978260869565218,0.9945945945945946,0.9913419913419913,0.998914223669924,0.988056460369164,0.9941466713864392,0.004035472445704379
0.02979140281677246,0.012758267384179648,0.019201183319091798,0.010501876544430761,10,1,5,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.8680851063829788,0.8461538461538461,0.8711111111111111,0.8535564853556485,0.8619246861924686,0.8601662470392105,0.009226340761104809,69,0.9891067538126361,0.9892008639308856,0.9792349726775956,0.986870897155361,0.9803921568627451,0.9849611288878448,0.004300538208135587
0.019148778915405274,0.0023109568851397205,0.012527084350585938,0.001482535930748219,10,1,10,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8983050847457628,0.8680851063829788,0.8421052631578947,0.8170212765957446,0.8620689655172413,0.8575171392799245,0.027105343997990146,84,0.9729144095341279,0.9643243243243244,0.9618320610687023,0.9690949227373068,0.9648351648351648,0.9666001764999251,0.003927416241412129
0.02532501220703125,0.006772125437280847,0.015479135513305663,0.00509829102024898,10,1,20,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 20}",0.8803418803418803,0.8632478632478633,0.8558558558558559,0.8434782608695652,0.8733624454148472,0.8632572611460023,0.012961394235962955,48,0.9519650655021834,0.9523809523809523,0.9349503858875413,0.9396267837541163,0.9537444933920705,0.9465335361833727,0.00771445773453124
0.039215707778930665,0.008846311948538752,0.02684025764465332,0.017032977022820927,10,2,2,"{'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.8888888888888888,0.8355555555555556,0.8571428571428571,0.8384279475982532,0.8546255506607929,0.8549281599692696,0.019004643510337302,87,0.9846491228070176,0.9834983498349835,0.9724972497249725,0.9800884955752213,0.9725576289791438,0.9786581693842678,0.005225671765513344
