mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__C,param_svm__gamma,param_svm__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
2.4470469474792482,0.2322753852866832,0.017629623413085938,0.0007584630655861419,100.0,scale,linear,"{'svm__C': 100, 'svm__gamma': 'scale', 'svm__kernel': 'linear'}",0.7476635514018691,0.7627906976744186,0.7605633802816901,0.7733333333333333,0.7579908675799086,0.760468366054244,0.008258461260083833,24,0.7713625866050808,0.7728813559322034,0.7676537585421412,0.7688787185354691,0.768348623853211,0.7698250086936211,0.0019745839438883354
0.09042048454284668,0.007248097758049115,0.03303027153015137,0.0023902979800234057,100.0,scale,rbf,"{'svm__C': 100, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.853448275862069,0.7894736842105263,0.8482142857142857,0.8487394957983193,0.8448275862068966,0.8369406655584195,0.023891948183362915,5,0.9978308026030369,0.9967497291440953,0.9935064935064936,0.9956709956709957,0.9956521739130435,0.9958820389675329,0.0014346539236567862
2.779321479797363,0.30850928215717627,0.018203067779541015,0.003390119534395688,100.0,0.001,linear,"{'svm__C': 100, 'svm__gamma': 0.001, 'svm__kernel': 'linear'}",0.7476635514018691,0.7627906976744186,0.7605633802816901,0.7733333333333333,0.7579908675799086,0.760468366054244,0.008258461260083833,24,0.7713625866050808,0.7728813559322034,0.7676537585421412,0.7688787185354691,0.768348623853211,0.7698250086936211,0.0019745839438883354
0.08052101135253906,0.0067236330361932625,0.04382586479187012,0.007620916952420586,100.0,0.001,rbf,"{'svm__C': 100, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",0.7757009345794392,0.7757009345794392,0.8148148148148148,0.8125,0.7782805429864253,0.7913994453920237,0.018212660507258383,10,0.8108720271800679,0.8139797068771139,0.7995469988674971,0.8036529680365296,0.8082663605051664,0.8072636122932749,0.005132542511122788
2.5318624496459963,0.31609724413817997,0.01816258430480957,0.0011528894380178835,100.0,0.01,linear,"{'svm__C': 100, 'svm__gamma': 0.01, 'svm__kernel': 'linear'}",0.7476635514018691,0.7627906976744186,0.7605633802816901,0.7733333333333333,0.7579908675799086,0.760468366054244,0.008258461260083833,24,0.7713625866050808,0.7728813559322034,0.7676537585421412,0.7688787185354691,0.768348623853211,0.7698250086936211,0.0019745839438883354
0.10207171440124511,0.00812935515750872,0.03374295234680176,0.0019752025748140676,100.0,0.01,rbf,"{'svm__C': 100, 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.8706896551724138,0.8122270742358079,0.852017937219731,0.8663967611336032,0.8717948717948718,0.8546252599112855,0.022342036113818943,1,0.9239013933547695,0.9293361884368309,0.918859649122807,0.9268817204301075,0.9217577706323687,0.9241473443953767,0.003691373477843493
2.505614423751831,0.2716967547528338,0.015365076065063477,0.0017354688886942829,100.0,0.1,linear,"{'svm__C': 100, 'svm__gamma': 0.1, 'svm__kernel': 'linear'}",0.7476635514018691,0.7627906976744186,0.7605633802816901,0.7733333333333333,0.7579908675799086,0.760468366054244,0.008258461260083833,24,0.7713625866050808,0.7728813559322034,0.7676537585421412,0.7688787185354691,0.768348623853211,0.7698250086936211,0.0019745839438883354
0.08955631256103516,0.009757264260294517,0.040417718887329104,0.009647015995576226,100.0,0.1,rbf,"{'svm__C': 100, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.8434782608695652,0.7946428571428571,0.8430493273542601,0.847457627118644,0.8376068376068376,0.833246982018433,0.01955502121368008,6,0.998914223669924,1.0,0.9978260869565218,1.0,0.998914223669924,0.999130906859274,0.0008132778076679743
2.0488726615905763,0.6650345940497627,0.010196971893310546,0.004537315753171265,100.0,1,linear,"{'svm__C': 100, 'svm__gamma': 1, 'svm__kernel': 'linear'}",0.7476635514018691,0.7627906976744186,0.7605633802816901,0.7733333333333333,0.7579908675799086,0.760468366054244,0.008258461260083833,24,0.7713625866050808,0.7728813559322034,0.7676537585421412,0.7688787185354691,0.768348623853211,0.7698250086936211,0.0019745839438883354
0.10858473777770997,0.0029420308064779183,0.06689572334289551,0.006265628711625931,100.0,1,rbf,"{'svm__C': 100, 'svm__gamma': 1, 'svm__kernel': 'rbf'}",0.7298245614035088,0.7310344827586207,0.7586206896551724,0.762589928057554,0.7535211267605634,0.7471181577270839,0.013931511078509361,36,1.0,1.0,1.0,1.0,1.0,1.0,0.0
