mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_knn__metric,param_knn__n_neighbors,param_knn__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.016088294982910156,0.0017527198221746463,0.02947578430175781,0.00779897146893866,manhattan,5,uniform,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 5, 'knn__weights': 'uniform'}",0.7873303167420814,0.8251121076233184,0.8036529680365296,0.7777777777777778,0.8169014084507042,0.8021549157260823,0.01766776419242569,25,0.880648899188876,0.8781609195402299,0.8783314020857474,0.8726851851851852,0.8865497076023392,0.8792752227204754,0.004480316529462609
0.020759725570678712,0.004748528809366208,0.025221729278564455,0.0034277653841071954,manhattan,5,distance,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 5, 'knn__weights': 'distance'}",0.8018018018018018,0.8235294117647058,0.7777777777777778,0.7777777777777778,0.8130841121495327,0.7987941762543191,0.01848490175752643,27,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.01624574661254883,0.0022176858625340356,0.039288806915283206,0.015151857660322123,manhattan,7,uniform,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 7, 'knn__weights': 'uniform'}",0.8,0.8303571428571429,0.8198198198198198,0.8037383177570093,0.8356807511737089,0.8179192063215363,0.01411369992696947,2,0.871264367816092,0.8685714285714285,0.8637413394919169,0.8679678530424799,0.869364161849711,0.8681818301543256,0.002482558242139054
0.01913604736328125,0.005533646009736697,0.0336029052734375,0.007131292385175176,manhattan,7,distance,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 7, 'knn__weights': 'distance'}",0.8036529680365296,0.8288288288288288,0.7945205479452054,0.8169014084507042,0.8317757009345794,0.8151358908391695,0.014313257923783119,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.02203526496887207,0.0016239766005552096,0.030511140823364258,0.004078235281043011,manhattan,9,uniform,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 9, 'knn__weights': 'uniform'}",0.8018018018018018,0.8355555555555556,0.8053097345132744,0.7870370370370371,0.8333333333333334,0.8126074924482005,0.018868187469557,9,0.8626560726447219,0.8538812785388128,0.8654292343387471,0.863013698630137,0.856492027334852,0.860294462297454,0.004357172733511233
0.041362571716308597,0.03433529475611088,0.02983551025390625,0.007644526146915473,manhattan,9,distance,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 9, 'knn__weights': 'distance'}",0.8054298642533937,0.8340807174887892,0.7713004484304933,0.7962962962962963,0.8333333333333334,0.8080881319604611,0.023716585461817624,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.023551511764526366,0.01780903741861424,0.03876438140869141,0.021488837673788615,manhattan,11,uniform,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 11, 'knn__weights': 'uniform'}",0.8054298642533937,0.8378378378378378,0.8053097345132744,0.7981651376146789,0.8518518518518519,0.8197188852142073,0.021152719771406654,1,0.8584269662921349,0.847457627118644,0.8637413394919169,0.854524627720504,0.8458049886621315,0.8539911098570663,0.006704139295493312
0.015038156509399414,0.0020161731077883247,0.029499006271362305,0.006161449682609466,manhattan,11,distance,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 11, 'knn__weights': 'distance'}",0.8036529680365296,0.8416289592760181,0.7857142857142857,0.8037383177570093,0.8518518518518519,0.8173172765271388,0.025113921585706696,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.020069074630737305,0.008592133882723124,0.03519506454467773,0.011544776805945343,manhattan,15,uniform,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 15, 'knn__weights': 'uniform'}",0.7894736842105263,0.8363636363636363,0.8141592920353983,0.7757009345794392,0.867579908675799,0.8166554911729598,0.03287571940052264,4,0.8503937007874016,0.8445945945945946,0.8419864559819413,0.8388571428571429,0.831081081081081,0.8413825950604323,0.0063934453081335284
0.015770912170410156,0.0030381585854957153,0.02805190086364746,0.006828381935578264,manhattan,15,distance,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 15, 'knn__weights': 'distance'}",0.7982456140350878,0.8310502283105022,0.8,0.7735849056603774,0.8623853211009175,0.813053213821377,0.030675554080573673,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
